x_pos, y_pos, orientation, steering_angle, speed
9.98646, 9.42505, 0.0373191, 0.152407, 1.47993
10.1739, 9.38946, 0.0628335, 0.146136, 1.35495
10.2769, 9.4134, 0.0883288, 0.141551, 1.29012
10.3912, 9.41915, 0.10962, 0.13793, 1.30036
10.5265, 9.43309, 0.130738, 0.135434, 1.32476
10.6568, 9.44653, 0.148362, 0.130989, 1.32638
10.7774, 9.46936, 0.164713, 0.125637, 1.33691
10.9199, 9.4848, 0.179639, 0.120846, 1.35092
11.0758, 9.49807, 0.19485, 0.11671, 1.35633
11.24, 9.53401, 0.211865, 0.114445, 1.34707
11.4094, 9.54845, 0.226142, 0.113532, 1.34734
11.5668, 9.56707, 0.243384, 0.113924, 1.34029
11.7144, 9.60822, 0.259583, 0.114002, 1.33684
11.883, 9.64471, 0.272644, 0.110621, 1.34272
12.0522, 9.6801, 0.28612, 0.109748, 1.35086
12.2149, 9.72276, 0.299649, 0.109836, 1.32973
12.3817, 9.76754, 0.316275, 0.108936, 1.33988
12.5385, 9.81994, 0.331126, 0.10915, 1.33374
12.6889, 9.86739, 0.346375, 0.108793, 1.34852
12.8551, 9.91857, 0.361745, 0.107819, 1.38029
13.0019, 9.97988, 0.380896, 0.106738, 1.4169
13.1696, 10.0422, 0.401298, 0.104548, 1.47301
13.3308, 10.1132, 0.419176, 0.101476, 1.52368
13.5222, 10.1806, 0.43574, 0.0982117, 1.57765
13.6835, 10.2534, 0.457222, 0.09345, 1.64233
13.848, 10.3657, 0.479936, 0.0909322, 1.69643
14.0244, 10.4737, 0.497516, 0.0851367, 1.7561
14.2111, 10.5575, 0.511231, 0.0821688, 1.76943
14.3883, 10.6484, 0.525483, 0.075357, 1.79503
14.5603, 10.7459, 0.537486, 0.069885, 1.82937
14.754, 10.8426, 0.544463, 0.0622927, 1.86936
14.9482, 10.9118, 0.546005, 0.0571732, 1.88618
15.1286, 10.986, 0.547876, 0.0528858, 1.91897
15.3332, 11.0718, 0.545771, 0.0470638, 1.95449
15.5225, 11.1532, 0.540259, 0.0401064, 2.00369
15.7338, 11.2358, 0.533916, 0.034176, 2.06776
15.937, 11.3131, 0.525263, 0.0302421, 2.12606
16.1588, 11.3911, 0.510389, 0.0244932, 2.18764
16.408, 11.4667, 0.492781, 0.0205789, 2.2509
16.6769, 11.5354, 0.472724, 0.0161003, 2.30944
16.9644, 11.5936, 0.453484, 0.0145788, 2.38717
17.2675, 11.6729, 0.435263, 0.0083349, 2.43195
17.5808, 11.728, 0.412907, 0.00436712, 2.49956
17.9141, 11.7544, 0.383534, -0.000308295, 2.54679
18.2359, 11.7687, 0.352827, -0.00566128, 2.6158
18.5767, 11.7533, 0.315819, -0.00949767, 2.67828
