x_pos, y_pos, orientation, steering_angle, speed
9.97999, 9.40101, 0.0425233, 0.15, 1.46
10.3719, 9.22522, 0.101978, 0.12, 0.87
9.96472, 9.60137, 0.119274, 0.08, 0.51
10.0255, 9.24809, 0.159419, 0.05, 1.58
10.6322, 9.37665, 0.171712, 0.06, 1.99
10.6246, 9.30011, 0.10945, 0.01, 1.38
10.4276, 9.53815, 0.071272, -0.02, 1.68
11.2129, 9.25281, 0.10965, -0.01, 1.75
11.7746, 9.13115, 0.176694, 1.73472e-17, 1.47
12.2236, 9.80645, 0.209361, 0.05, 0.99
12.5743, 9.09217, 0.224476, 0.09, 1.28
12.3924, 9.17936, 0.314682, 0.12, 1.08
12.2669, 9.85541, 0.234508, 0.12, 1.19
13.0867, 9.68403, 0.205804, 0.02, 1.44
13.27, 9.62534, 0.246477, 0.09, 1.52
13.2768, 9.85627, 0.246358, 0.12, 0.63
13.594, 9.89851, 0.368844, 0.08, 1.57
13.463, 10.1302, 0.307147, 0.12, 1.09
13.4208, 9.95305, 0.341132, 0.1, 1.75
14.0246, 10.0267, 0.374749, 0.08, 2.27
13.5043, 10.2947, 0.459415, 0.07, 2.48
14.2171, 10.2435, 0.546569, 0.03, 3.1
14.0646, 10.4435, 0.459825, 0.01, 3
15.078, 10.2492, 0.50506, -6.93889e-18, 3.13
14.1911, 10.3273, 0.618712, -0.06, 3.56
14.3323, 11.4952, 0.6048, 0.01, 3.26
14.7709, 11.2867, 0.517222, -0.08, 3.49
15.2148, 10.5047, 0.513928, 0, 2.14
15.0898, 10.7128, 0.539527, -0.12, 2.54
15.0569, 10.9055, 0.489546, -0.08, 2.84
15.8575, 10.8627, 0.437655, -0.14, 3.04
16.0015, 10.0111, 0.367772, -0.07, 2.4
15.7023, 10.1903, 0.356668, -0.05, 2.92
16.5639, 10.578, 0.29378, -0.09, 3.01
16.1656, 10.4693, 0.185241, -0.12, 3.49
16.8999, 10.5224, 0.239945, -0.1, 3.99
16.664, 10.3859, 0.170926, -0.04, 3.89
17.2683, 10.4516, 0.0299643, -0.08, 4.04
18.1487, 10.442, 0.0207584, -0.03, 4.14
18.8036, 10.3121, 0.0028998, -0.05, 4.05
19.4405, 10.0573, 0.0908258, 0.02, 4.7
19.9661, 10.8462, 0.0666216, -0.12, 3.73
20.403, 10.1863, 0.0440573, -0.06, 4.49
21.1149, 9.39059, -0.0562516, -0.08, 3.92
20.8369, 9.18049, -0.0924056, -0.1, 4.65
21.4903, 8.38269, -0.171244, -0.06, 4.5
22.0812, 8.5935, -0.125133, -0.14, 3.89
22.3609, 8.48166, -0.191175, -0.05, 4.35
21.9045, 8.72413, -0.168742, -0.06, 4.05
23.1983, 9.73528, -0.281328, -0.12, 3.92
23.3488, 9.06813, -0.34016, -0.11, 3.7
24.7414, 8.84822, -0.282746, -0.13, 3.27
24.8706, 8.46022, -0.342766, -0.14, 2.86
25.307, 9.63723, -0.390001, -0.12, 3.22
26.1931, 8.31153, -0.404495, -0.06, 3.75
26.358, 8.18567, -0.427484, -0.04, 3.09
27.0674, 8.20929, -0.545989, -0.13, 3.23
26.4877, 6.88143, -0.536632, -0.01, 3.44
27.1962, 6.97392, -0.584425, -0.07, 3.79
27.4024, 7.07337, -0.546628, -0.01, 3.05
27.7931, 7.08609, -0.56925, 0.04, 2.96
28.6077, 6.51121, -0.614531, 0.03, 3.06
28.6282, 6.75273, -0.554155, 0.14, 4.06
28.4219, 5.99037, -0.550698, 0.08, 4.23
28.7535, 5.61608, -0.43089, 0.11, 4.35
30.0185, 5.26617, -0.330315, 0.1, 4.54
30.3584, 5.63094, -0.262991, 0.14, 4.23
30.578, 5.30453, -0.244305, 0.08, 4.16
31.7714, 5.00095, -0.234397, 0.1, 4.12
31.828, 4.20807, -0.11724, 0.16, 3.75
32.152, 4.05828, -0.0473818, 0.09, 4.73
32.4996, 4.40224, 0.002766, 0.11, 4.08
32.7525, 3.73635, 0.0388374, 0.13, 4.85
32.7683, 3.74591, 0.0102378, 0.18, 4.52
32.6015, 3.70549, 0.116277, 0.19, 5.31
33.5807, 4.32531, 0.269516, 0.28, 4.66
33.9193, 4.67395, 0.367515, 0.17, 4.35
34.3428, 4.43216, 0.507275, 0.12, 5.24
35.1306, 5.34207, 0.600161, 0.2, 5.37
35.2549, 5.48706, 0.759757, 0.22, 4.9
35.174, 5.22085, 0.84937, 0.32, 4.52
35.0016, 5.34147, 1.11804, 0.34, 4.55
34.5193, 5.29959, 1.18189, 0.27, 4.65
34.7705, 6.4246, 1.36334, 0.35, 5.28
34.6061, 6.88955, 1.6101, 0.24, 4.95
35.3987, 7.76554, 1.71848, 0.32, 4.79
34.8771, 7.69108, 1.87062, 0.26, 4.89
33.912, 8.38099, 2.01407, 0.23, 4.27
34.3636, 8.0693, 2.14634, 0.32, 4.79
33.2697, 8.26316, 2.2065, 0.38, 4.29
33.6251, 8.51918, 2.49931, 0.38, 4.49
32.5374, 8.75253, 2.66901, 0.37, 4.68
33.3869, 9.08442, 2.87865, 0.39, 4.86
32.9197, 9.33306, 3.16838, 0.4, 4.44
31.9105, 9.17125, -3.02475, 0.41, 4.65
31.6521, 8.18464, -2.8294, 0.39, 4
31.6248, 8.43214, -2.6228, 0.3, 3.95
31.5321, 7.80092, -2.48935, 0.3, 4.31
32.1256, 8.77266, -2.44396, 0.36, 4.39
32.3746, 8.07428, -2.23307, 0.35, 5
31.5325, 8.19649, -1.99389, 0.38, 5.23
31.9195, 7.27801, -1.80022, 0.36, 5.43
31.2217, 6.83361, -1.58365, 0.3, 5.06
31.272, 5.80286, -1.3493, 0.37, 4.86
31.3042, 5.07953, -1.13218, 0.36, 5.27
30.6895, 4.98256, -0.964226, 0.34, 5.72
30.6304, 5.50736, -0.679059, 0.39, 6.11
31.4289, 4.07406, -0.545812, 0.37, 5.45
30.6607, 4.23374, -0.195513, 0.35, 6.24
32.49, 3.4348, 0.0208591, 0.41, 5.95
32.7964, 3.44939, 0.341982, 0.41, 6.37
34.1547, 3.31402, 0.737832, 0.44, 7.03
34.1014, 3.47655, 1.02422, 0.46, 6.84
34.3866, 4.06032, 1.53912, 0.53, 7.31
34.5766, 4.73959, 1.97887, 0.46, 7.88
34.2051, 5.69178, 2.26753, 0.42, 6.68
34.046, 6.84814, 2.66051, 0.52, 7.01
33.8426, 6.39693, 3.06948, 0.45, 7.71
32.2999, 5.63123, -2.814, 0.46, 7.21
31.0629, 5.59411, -2.46005, 0.51, 6.85
30.5369, 5.46613, -2.11865, 0.48, 6.92
30.8075, 4.35016, -1.62797, 0.54, 7.99
30.4758, 3.31253, -1.17538, 0.51, 7.63
31.4193, 2.39577, -0.651957, 0.44, 7.44
31.5246, 2.1508, -0.247769, 0.46, 7.95
31.9359, 2.58489, 0.194463, 0.44, 7.92
32.8872, 3.62105, 0.656658, 0.44, 7.37
33.6884, 4.6256, 1.08686, 0.5, 7.7
33.9781, 5.66526, 1.44112, 0.46, 7.32
33.4861, 5.925, 1.87996, 0.38, 7.55
33.2965, 6.07661, 2.24557, 0.42, 7.33
32.7783, 7.00534, 2.60167, 0.43, 6.39
33.0708, 7.81751, 3.03023, 0.47, 7.67
31.2096, 6.89949, -2.9179, 0.47, 6.99
31.3126, 6.56558, -2.51414, 0.44, 7.31
30.736, 6.33446, -2.08276, 0.42, 7.23
30.5503, 5.86784, -1.84848, 0.46, 7.68
29.3762, 5.12629, -1.38802, 0.46, 8.1
30.2309, 4.17972, -0.995762, 0.44, 8.15
30.9676, 4.53351, -0.615889, 0.52, 8.36
32.2921, 3.1519, -0.201501, 0.51, 7.71
33.2073, 3.01683, 0.266529, 0.47, 7.76
33.8641, 3.83973, 0.837532, 0.49, 6.8
33.7581, 5.30675, 1.2412, 0.5, 7.72
33.5282, 5.46648, 1.68443, 0.56, 7.34
33.9488, 6.8092, 2.21067, 0.59, 6.31
32.6029, 6.96885, 2.59028, 0.54, 6.69
32.3866, 7.34098, 2.98272, 0.51, 6.27
31.8002, 7.3339, -2.84742, 0.53, 5.41
32.0784, 6.05954, -2.54513, 0.54, 5.86
31.3879, 5.82235, -2.1108, 0.44, 6.36
30.6036, 6.23484, -1.79046, 0.51, 6
30.1835, 5.22937, -1.45668, 0.49, 5.74
30.7217, 4.55928, -1.12609, 0.54, 5.2
32.0541, 3.52239, -0.739756, 0.54, 5.04
32.3911, 3.30526, -0.455175, 0.47, 5.71
32.8517, 3.04299, -0.0379998, 0.53, 4.68
34.3209, 2.83057, 0.366822, 0.58, 4.91
34.6031, 3.0868, 0.720996, 0.58, 5.38
34.8915, 2.79541, 1.03889, 0.53, 4.86
35.4601, 3.39885, 1.28433, 0.51, 4.91
35.2566, 4.32131, 1.6829, 0.61, 5.24
34.3443, 4.33572, 2.05956, 0.52, 5.25
34.624, 4.16565, 2.35855, 0.62, 5.53
33.6687, 4.2473, 2.772, 0.6, 4.71
32.8127, 3.99889, 3.17086, 0.6, 4.98
32.7595, 4.09162, -2.73681, 0.59, 5.3
32.4097, 4.52353, -2.31311, 0.63, 4.45
31.9879, 4.2751, -1.97353, 0.69, 4.28
31.8959, 3.51463, -1.55772, 0.6, 4.72
32.7518, 3.35592, -1.1174, 0.67, 4.99
32.4233, 2.97148, -0.808654, 0.64, 5.16
33.846, 2.99655, -0.347318, 0.65, 4.07
34.8592, 2.63254, 0.0275802, 0.57, 5.16
34.6981, 2.47487, 0.398652, 0.67, 5.23
35.564, 2.95782, 0.845868, 0.64, 5.03
34.8987, 2.44948, 1.35118, 0.65, 5.47
35.9589, 2.74631, 1.75859, 0.62, 5.56
35.4901, 3.77914, 2.1887, 0.65, 5.02
35.9893, 4.45812, 2.53339, 0.68, 5.5
36.0487, 4.08531, 2.87861, 0.63, 5.51
34.2158, 4.1058, -2.88325, 0.59, 5.51
34.5635, 3.0756, -2.46791, 0.64, 5.47
33.3856, 3.46681, -2.04639, 0.7, 5.39
33.4561, 2.88863, -1.61884, 0.67, 5.01
33.3155, 3.31628, -1.16189, 0.67, 5.7
34.5255, 2.14573, -0.694214, 0.68, 4.75
35.0006, 2.86671, -0.19827, 0.66, 4.58
35.5293, 2.56971, 0.205709, 0.7, 5.35
35.4139, 2.39757, 0.798989, 0.72, 4.85
35.9841, 2.60697, 1.28641, 0.77, 5.14
36.696, 2.26539, 1.70853, 0.77, 3.68
36.1232, 3.58008, 2.19159, 0.77, 3.32
36.7608, 3.557, 2.57651, 0.72, 4.37
35.3397, 3.24515, 3.02005, 0.76, 4.21
35.8198, 3.95964, -2.86324, 0.76, 4.49
35.1187, 4.0118, -2.47816, 0.7, 3.83
34.7304, 3.95686, -2.04814, 0.68, 3.99
34.4377, 2.91118, -1.62639, 0.78, 5.17
34.5557, 2.19902, -1.24904, 0.72, 5.46
35.3735, 2.04243, -0.6359, 0.76, 4.83
35.4765, 0.744915, -0.177899, 0.72, 4.92
35.6068, 1.35855, 0.245905, 0.79, 5.27
36.3221, 1.44895, 0.919838, 0.77, 5.7
35.5879, 1.66895, 1.57335, 0.76, 5.42
34.961, 1.82215, 2.12084, 0.82, 6.05
35.1656, 1.79254, 2.69574, 0.8, 6.29
34.8959, 1.38489, -2.93947, 0.76, 5.67
34.6583, 1.88973, -2.37555, 0.71, 5.79
34.3761, 1.93603, -1.88316, 0.62, 4.82
34.4861, 0.993317, -1.40366, 0.7, 5.28
34.8203, 0.739741, -0.964148, 0.67, 4.74
35.376, 0.56463, -0.543373, 0.67, 4.81
35.8409, 0.757198, -0.0201307, 0.76, 4.98
35.8104, 1.06994, 0.45879, 0.74, 4.16
36.6431, 1.10281, 0.914588, 0.78, 3.9
36.8333, 1.27712, 1.40436, 0.78, 4.24
36.966, 1.69505, 1.78222, 0.82, 4.59
35.9962, 2.93899, 2.25785, 0.72, 4.62
36.4331, 2.96917, 2.67139, 0.77, 4.58
35.61, 3.70227, -2.9784, 0.75, 4.61
35.7107, 3.31665, -2.53901, 0.82, 4.58
35.0662, 2.44093, -2.05757, 0.79, 4.57
35.0587, 1.22221, -1.47693, 0.91, 3.84
34.8505, 0.643671, -0.924676, 0.87, 4.59
36.3492, -0.0435724, -0.401978, 0.84, 4.09
36.458, -0.165068, 0.0907575, 0.91, 4.05
37.8813, 0.0615963, 0.694117, 0.85, 5.32
38.2893, 0.0718092, 1.34093, 0.8, 5.13
38.0547, 0.390288, 1.93802, 0.82, 4.61
38.4322, 1.25434, 2.48161, 0.78, 5.25
36.8429, 1.11162, -3.18973, 0.81, 5.67
36.1774, 0.864696, -2.4653, 0.8, 4.98
36.2611, 0.556314, -1.82637, 0.76, 4.76
36.2952, -0.701768, -1.3125, 0.8, 4.76
36.5103, -0.578372, -0.723351, 0.77, 5.95
36.5544, -0.097527, -0.204468, 0.81, 5.86
36.6319, 0.396279, 0.41689, 0.77, 5.85
37.9262, 0.823163, 0.996796, 0.77, 6.34
37.7148, 1.26159, 1.50223, 0.75, 6.98
37.3965, 2.2828, 2.11353, 0.69, 7.04
36.6556, 1.872, 2.88067, 0.71, 7.59
36.3183, 2.24318, -2.65866, 0.77, 6.81
36.1731, 1.37476, -1.97843, 0.68, 6.43
35.8789, 1.1298, -1.39084, 0.68, 6.73
35.8389, 0.215712, -0.815033, 0.68, 7.08
36.7502, -0.407218, -0.214161, 0.69, 7.14
36.8538, -0.18781, 0.385487, 0.63, 7.49
37.2966, 0.190246, 1.04993, 0.6, 7.77
37.2662, 0.6035, 1.6584, 0.63, 8.54
37.2524, 1.69535, 2.21063, 0.56, 7.74
36.3349, 1.98012, 2.81202, 0.67, 8.01
36.6776, 2.30198, -2.82736, 0.71, 7.85
35.6685, 2.31896, -2.22586, 0.74, 8.47
35.623, 1.42707, -1.47942, 0.71, 7.95
35.5531, 0.683306, -0.5388, 0.67, 8.28
36.0844, 0.504803, 0.1723, 0.74, 8.34
36.4135, 0.501954, 1.00264, 0.68, 7.44
36.6087, 1.87182, 1.69606, 0.65, 7.82
36.2756, 2.55402, 2.35334, 0.73, 7.6
35.2301, 2.80055, 3.04864, 0.7, 8.13
35.4917, 1.83468, -2.48175, 0.77, 8.35
34.2672, 2.27043, -1.55474, 0.74, 8.52
34.5483, 1.95106, -0.712345, 0.76, 8.61
35.8502, 1.06642, 0.197496, 0.8, 8.56
36.7224, 1.27197, 0.998153, 0.84, 8.29
35.7619, 1.70997, 2.04373, 0.76, 7.89
34.8727, 2.80111, 2.93858, 0.78, 7.47
34.6452, 1.6284, -2.54931, 0.81, 7.98
34.554, 1.55621, -1.62024, 0.78, 7.49
34.5948, 0.984485, -0.701102, 0.9, 7.58
35.1908, 0.256652, 0.26745, 0.85, 7.72
35.5251, 1.66206, 1.27703, 0.8, 7.82
34.8552, 2.61835, 2.26903, 0.8, 7.97
34.471, 2.14675, -3.16001, 0.84, 7.23
33.577, 2.29905, -2.10535, 0.8, 7.1
32.9975, 1.53083, -1.35851, 0.74, 7.51
34.341, 1.52108, -0.616035, 0.72, 6.41
35.5345, 0.508472, 0.123387, 0.69, 6.49
35.2985, 0.631529, 0.728666, 0.7, 5.78
35.5825, 1.28778, 1.31422, 0.82, 6.53
35.5786, 2.49, 1.88915, 0.75, 5.98
34.5148, 2.76748, 2.55005, 0.78, 6.07
33.176, 2.60916, -3.10447, 0.7, 6.15
33.4395, 2.52888, -2.4785, 0.77, 5.69
33.4503, 2.06423, -1.87658, 0.72, 6.07
33.3164, 0.924457, -1.17757, 0.68, 5.92
33.7207, 1.37543, -0.647918, 0.78, 6.83
34.248, 0.363922, 0.0437344, 0.71, 5.68
34.5613, 1.40069, 0.641115, 0.7, 5.93
35.5197, 1.8547, 1.17199, 0.67, 5.37
35.1594, 2.51373, 1.65619, 0.78, 5.07
35.8646, 3.31344, 2.04433, 0.74, 5.07
36.0192, 3.10788, 2.69733, 0.77, 5.26
35.4542, 2.89671, -3.0447, 0.7, 4.7
34.8798, 2.56331, -2.5818, 0.66, 4.95
34.0109, 1.95667, -2.1828, 0.68, 4.17
33.5139, 1.73577, -1.73845, 0.76, 3.69
33.7707, 1.00783, -1.41336, 0.78, 3.78
33.762, 0.127327, -1.0219, 0.79, 3.3
34.2707, -0.575646, -0.702351, 0.75, 3.33
34.7988, 0.0383146, -0.310237, 0.69, 3.03
34.2322, -0.180565, 0.0240241, 0.73, 3.3
35.4974, -0.873868, 0.288285, 0.67, 2.81
35.6692, -0.964103, 0.528712, 0.65, 2.86
35.6727, -0.717971, 0.734504, 0.61, 3.2
35.9776, -0.808808, 0.987722, 0.6, 2.68
36.2062, -0.580884, 1.27124, 0.64, 3.57
35.8922, -0.457178, 1.49806, 0.61, 2.78
35.2863, 0.299068, 1.78955, 0.64, 2.69
34.7069, -0.215261, 1.99464, 0.61, 3.15
34.2658, 0.598638, 2.25595, 0.64, 2.55
34.195, 0.440481, 2.45602, 0.67, 1.81
34.2947, 1.5497, 2.57577, 0.63, 1.84
34.041, 0.911079, 2.69013, 0.7, 2.39
33.3609, 0.576936, 2.93982, 0.65, 2.17
33.2165, 1.33683, 3.11777, 0.67, 2.12
32.7358, 1.33493, -2.97258, 0.65, 1.73
33.8308, 0.901362, -2.77287, 0.59, 1.41
32.8773, 0.417967, -2.67568, 0.55, 1.74
33.3975, 0.465312, -2.50061, 0.57, 1.55
32.5061, 0.0993131, -2.33595, 0.49, 2.36
32.4911, -1.10584, -2.20272, 0.55, 2.47
32.7503, -1.30339, -2.08414, 0.57, 2.9
32.1822, -0.972306, -1.94432, 0.55, 2.81
31.9266, -0.978377, -1.78857, 0.6, 3.52
32.6642, -1.99098, -1.53467, 0.56, 2.75
32.5706, -1.27426, -1.29448, 0.55, 2.67
33.6998, -0.955221, -1.11358, 0.6, 1.99
33.2866, -1.50679, -0.929827, 0.6, 2.64
33.7705, -0.864574, -0.72897, 0.59, 1.94
32.9482, -0.480403, -0.533704, 0.64, 2.57
33.6561, -0.901326, -0.261522, 0.63, 1.44
33.5739, -0.763863, -0.173269, 0.65, 2.54
34.3641, -0.508507, 0.0905887, 0.61, 2.19
34.4375, -1.08371, 0.227553, 0.63, 1.96
33.9222, -1.57837, 0.303195, 0.59, 1.63
34.9865, -0.927613, 0.400522, 0.63, 1.77
34.5218, -1.17876, 0.616371, 0.55, 2.03
34.3304, -1.4173, 0.741678, 0.59, 1.87
34.6476, -1.34097, 0.851526, 0.6, 2.2
34.6627, -1.16252, 1.07705, 0.62, 1.7
34.195, 0.0679797, 1.24987, 0.72, 2.38
34.6789, 0.232923, 1.46189, 0.68, 2.37
34.9644, -0.371956, 1.54698, 0.68, 1.92
34.379, 0.685182, 1.80497, 0.63, 1.84
35.355, 0.555761, 1.90066, 0.69, 1.56
35.5838, 1.18457, 2.09385, 0.7, 2.03
35.6343, 0.421814, 2.17822, 0.72, 1.83
34.9948, 0.486576, 2.32634, 0.62, 1.78
35.0641, -0.207368, 2.47039, 0.68, 2.04
34.558, -0.101837, 2.61191, 0.73, 2.56
33.5376, -0.573543, 2.83337, 0.74, 1.62
33.8678, -0.399934, 3.09769, 0.72, 2.08
33.7678, -0.715583, -2.89709, 0.69, 2.02
34.1992, 0.226482, -2.66114, 0.7, 2.03
33.7729, -0.0603867, -2.54019, 0.68, 2.12
33.9311, -0.907301, -2.38111, 0.67, 1.64
33.5648, -0.65927, -2.17204, 0.56, 1.23
33.414, -0.941895, -1.99737, 0.58, 1.48
33.296, -1.57442, -1.90269, 0.65, 1.42
33.4821, -1.87647, -1.74499, 0.63, 1.25
33.7494, -1.5108, -1.5788, 0.56, 1.47
34.0412, -2.47271, -1.46844, 0.56, 1.02
33.772, -3.30018, -1.29233, 0.61, 1.27
34.4098, -2.78246, -1.32175, 0.58, 1.17
34.0115, -2.89131, -1.16592, 0.59, 1.54
33.4767, -2.53253, -0.960189, 0.55, 1.31
34.0625, -2.59806, -0.865553, 0.59, 1.55
34.0483, -3.42181, -0.715918, 0.66, 1.5
33.7167, -2.78842, -0.70311, 0.61, 1.19
33.2882, -3.44636, -0.585452, 0.66, 0.94
33.6326, -2.57845, -0.585656, 0.59, 0.26
34.1177, -2.47306, -0.531883, 0.63, 0.49
33.1602, -2.52602, -0.539922, 0.67, 0.95
33.522, -2.13744, -0.46264, 0.65, 1.07
33.4153, -1.98513, -0.47196, 0.59, 1.11
33.9158, -2.16131, -0.308491, 0.57, 1.32
33.3278, -1.98736, -0.320273, 0.56, 0.86
33.8936, -2.43841, -0.164811, 0.65, 0.48
34.6029, -2.16824, -0.1216, 0.58, 0.58
34.8086, -1.98396, -0.184334, 0.62, 0.56
34.7531, -2.04185, -0.133857, 0.62, -0.03
35.1348, -1.50645, -0.142611, 0.63, 0.52
35.3246, -2.32297, -0.0156553, 0.62, -5.55112e-17
35.4156, -1.73421, -0.00173718, 0.61, 0.65
35.4375, -1.5258, 0.0195087, 0.51, 0.9
35.8685, -1.4253, 0.0774391, 0.58, 0.65
36.0275, -1.29266, 0.0758492, 0.59, 1.06
36.0343, -1.62637, 0.100454, 0.55, 0.39
36.7779, -1.31849, 0.132661, 0.43, 1.75
36.0317, -2.09546, 0.272024, 0.54, 0.9
36.5745, -1.32089, 0.241689, 0.5, 0.45
36.7206, -1.55118, 0.301602, 0.52, 0.55
36.6226, -1.68949, 0.332241, 0.47, -0.14
36.1879, -1.68126, 0.379206, 0.51, 0.27
36.7288, -1.8209, 0.35977, 0.42, 0.24
35.5423, -2.39342, 0.346203, 0.48, -0.08
36.1039, -2.87662, 0.361248, 0.5, 0.47
36.1274, -2.78356, 0.333623, 0.51, 0.23
36.2518, -1.6844, 0.408297, 0.55, 0.68
36.1063, -2.1086, 0.411363, 0.5, 0.39
35.4882, -2.78324, 0.400022, 0.55, -0.28
35.9755, -3.04538, 0.473553, 0.61, 0.92
36.4717, -3.22493, 0.473254, 0.6, 0.16
35.6417, -3.06877, 0.490224, 0.58, -0.07
35.6745, -2.78245, 0.394012, 0.69, 0.45
35.9463, -2.1068, 0.465222, 0.62, 0.15
35.7205, -2.93494, 0.397095, 0.63, 0.59
35.8542, -2.61823, 0.481006, 0.62, 0.4
35.9076, -2.548, 0.582601, 0.66, -0.04
34.8343, -1.50704, 0.639848, 0.65, 0.6
35.278, -1.39367, 0.636687, 0.67, 0.27
34.8287, -1.44802, 0.734711, 0.65, 0.72
33.9176, -1.19499, 0.788691, 0.66, -0.11
34.5621, -1.68127, 0.835584, 0.63, 0.02
