x_pos, y_pos, orientation, steering_angle, speed
10.1999, 10.0043, 0.0450467, 0.2, 1
11.3715, 10.8939, 0.222286, 0.248316, 1.89779
11.6768, 11.1515, 0.333942, 0.272143, 1.95346
11.9307, 11.255, 0.412177, 0.281453, 2.0076
12.1336, 11.367, 0.488632, 0.284761, 2.02601
12.3247, 11.503, 0.570168, 0.290539, 2.05697
12.5111, 11.6477, 0.647723, 0.294234, 2.07108
12.6907, 11.7883, 0.724101, 0.297853, 2.09496
12.8708, 11.9711, 0.803016, 0.299125, 2.1124
13.0298, 12.1638, 0.884758, 0.303006, 2.14235
13.1778, 12.3777, 0.968006, 0.305483, 2.16847
13.304, 12.5797, 1.0487, 0.306036, 2.18803
13.436, 12.806, 1.12921, 0.308176, 2.21711
13.527, 13.0282, 1.21462, 0.311299, 2.23013
13.5995, 13.2673, 1.30275, 0.31324, 2.25054
13.6603, 13.5251, 1.38693, 0.314809, 2.2583
13.7157, 13.7709, 1.47021, 0.315917, 2.27585
13.7568, 14.0157, 1.55662, 0.319068, 2.3047
13.7767, 14.2631, 1.64284, 0.320593, 2.33673
13.7583, 14.5251, 1.73306, 0.32338, 2.35126
13.7105, 14.774, 1.82578, 0.325163, 2.3651
13.6682, 15.0354, 1.91352, 0.327421, 2.38748
13.5726, 15.3028, 2.00651, 0.329156, 2.42029
13.4708, 15.5495, 2.09781, 0.328726, 2.44889
13.3463, 15.7838, 2.19133, 0.329884, 2.45601
13.196, 15.9988, 2.28886, 0.332377, 2.48764
13.0405, 16.2123, 2.38243, 0.334898, 2.49621
12.8603, 16.4029, 2.48064, 0.33595, 2.52346
12.6656, 16.5543, 2.58325, 0.339727, 2.52991
12.4478, 16.706, 2.68099, 0.342155, 2.53119
12.2137, 16.8335, 2.78198, 0.344531, 2.53648
11.9759, 16.9292, 2.8842, 0.345614, 2.54171
11.7286, 16.9992, 2.98671, 0.345979, 2.55862
11.4879, 17.0554, 3.08942, 0.348873, 2.5692
11.2327, 17.0871, -3.092, 0.349879, 2.58807
10.9564, 16.9445, -2.73969, 0.449064, 2.61527
10.7262, 16.8019, -2.52796, 0.509094, 2.63494
10.5208, 16.6303, -2.33542, 0.528465, 2.66154
10.3452, 16.4303, -2.14948, 0.535177, 2.69186
10.2258, 16.1945, -1.96393, 0.536164, 2.69661
10.1539, 15.9391, -1.77496, 0.539403, 2.70482
10.1523, 15.661, -1.57952, 0.541643, 2.70918
10.1914, 15.3824, -1.38644, 0.543606, 2.71585
10.2838, 15.1408, -1.1888, 0.547139, 2.71843
10.4533, 14.893, -0.983093, 0.548847, 2.74686
10.671, 14.7059, -0.771429, 0.553927, 2.75996
10.9351, 14.5275, -0.559452, 0.556178, 2.79146
11.2287, 14.4264, -0.340461, 0.560327, 2.82402
11.5178, 14.3793, -0.126206, 0.564837, 2.82774
11.8234, 14.3845, 0.0882032, 0.56621, 2.84436
